season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2022,Finland,4,0,3,1,0.75,125,3,5,-2,8,120,72,0,16,45,35,19,0.75,1.25
2022,San Marino,6,0,2,4,0.33,139,2,7,-5,9,273,77,1,6,34,19,11,0.33,1.17
2022,Romania,4,1,1,2,1,90,8,5,3,13,45,72,1,23,51,57,21,2,1.25
2022,Sweden,2,2,0,0,3,75,4,1,3,5,45,180,1,8,38,21,8,2,0.5
2022,Germany,3,2,1,0,2.33,62,4,1,3,5,68,273,2,21,68,59,25,1.33,0.33
2022,Israel,5,1,1,3,0.8,110,9,11,-2,20,50,41,0,24,54,52,28,1.8,2.2
2022,Italy,3,2,0,1,2,73,6,5,1,11,45,54,0,20,60,47,15,2,1.67
2022,Lithuania,2,1,0,1,1.5,130,2,2,0,4,90,90,0,10,50,13,5,1,1
2022,Jordan,6,4,0,2,2,13,10,6,4,16,54,90,3,22,44,61,23,1.67,1
2022,Bahrain,11,5,1,5,1.45,2,14,16,-2,30,71,62,2,21,49,72,41,1.27,1.45
2022,Ghana,4,2,0,2,1.5,70,3,6,-3,9,120,60,2,22,47,48,21,0.75,1.5
2022,Honduras,5,1,1,3,0.8,93,3,7,-4,10,150,64,1,8,45,10,6,0.6,1.4
2022,Algeria,6,4,1,1,2.17,8,9,5,4,14,60,108,2,33,59,60,28,1.5,0.83
2022,Colombia,5,5,0,0,3,4,12,4,8,16,38,113,2,20,60,53,31,2.4,0.8
2022,Senegal,2,1,1,0,2,97,3,1,2,4,60,180,1,12,60,21,10,1.5,0.5
2022,Canada,4,2,1,1,1.75,51,6,5,1,11,60,72,1,24,57,43,16,1.5,1.25
2022,Jamaica,4,0,2,2,0.5,138,2,8,-6,10,180,45,0,2,41,16,7,0.5,2
2022,Uganda,9,1,4,4,0.78,54,8,13,-5,21,101,63,2,16,47,42,25,0.89,1.44
2022,Burkina Faso,6,4,0,2,2,18,8,10,-2,18,68,54,2,22,46,55,25,1.33,1.67
2022,Peru,7,5,1,1,2.29,3,11,3,8,14,57,209,4,24,53,78,36,1.57,0.43
2022,Mauritania,5,3,2,0,2.2,23,7,3,4,10,64,150,2,5,53,15,8,1.4,0.6
