season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2021,Finland,4,0,1,3,0.25,104,2,6,-4,8,180,60,1,17,49,25,7,0.5,1.5
2021,Iceland,3,1,1,1,1.33,53,4,4,0,8,68,68,1,6,39,18,11,1.33,1.33
2021,Belarus,3,1,1,1,1.33,62,3,3,0,6,90,90,1,13,46,26,13,1,1
2021,Czech Republic,4,2,1,1,1.75,23,11,6,5,17,33,60,1,26,57,63,30,2.75,1.5
2021,Montenegro,2,0,1,1,0.5,108,1,3,-2,4,180,60,1,11,48,18,7,0.5,1.5
2021,Switzerland,4,4,0,0,3,8,14,4,10,18,26,90,1,24,60,78,33,3.5,1
2021,Serbia,6,2,3,1,1.5,16,9,2,7,11,60,273,4,16,52,47,22,1.5,0.33
2021,Austria,2,0,1,1,0.5,110,0,1,-1,1,0,180,1,12,52,28,10,0,0.5
2021,Georgia,4,2,0,2,1.5,34,4,8,-4,12,90,45,1,13,45,45,21,1,2
2021,Spain,2,1,1,0,2,65,4,0,4,4,45,0,2,7,57,21,7,2,0
2021,Luxembourg,4,0,1,3,0.25,111,1,4,-3,5,360,90,0,22,52,23,9,0.25,1
2021,Portugal,4,3,1,0,2.5,13,10,1,9,11,36,360,3,32,57,62,29,2.5,0.25
2021,Romania,2,0,0,2,0,129,1,3,-2,4,180,60,0,9,48,30,11,0.5,1.5
2021,Northern Ireland,4,2,0,2,1.5,42,5,3,2,8,72,120,2,12,43,29,13,1.25,0.75
2021,Sweden,4,4,0,0,3,9,8,2,6,10,45,180,2,20,58,66,28,2,0.5
2021,Ukraine,5,2,3,0,1.8,18,8,3,5,11,56,150,2,31,61,97,47,1.6,0.6
2021,Liechtenstein,2,0,0,2,0,132,1,12,-11,13,180,15,0,1,25,10,6,0.5,6
2021,Poland,2,0,2,0,1,96,3,3,0,6,60,60,0,7,57,17,10,1.5,1.5
2021,England,2,2,0,0,3,36,2,0,2,2,90,0,2,8,54,30,13,1,0
2021,Republic of Ireland,4,2,2,0,2,20,9,2,7,11,40,180,2,18,54,40,22,2.25,0.5
2021,Greece,4,2,1,1,1.75,22,6,5,1,11,60,72,0,14,52,41,19,1.5,1.25
2021,Armenia,2,0,1,1,0.5,112,2,4,-2,6,90,45,0,4,36,14,8,1,2
2021,Cyprus,2,0,0,2,0,133,0,5,-5,5,0,36,0,4,37,9,6,0,2.5
2021,Israel,2,1,0,1,1.5,83,3,5,-2,8,60,36,0,4,47,16,5,1.5,2.5
2021,Albania,2,0,1,1,0.5,113,1,3,-2,4,180,60,1,12,49,11,2,0.5,1.5
2021,Belgium,2,1,1,0,2,63,2,1,1,3,90,180,1,12,54,24,11,1,0.5
2021,Bulgaria,5,1,2,2,1,45,6,7,-1,13,75,64,0,10,40,27,15,1.2,1.4
2021,Kosovo,6,4,0,2,2,7,12,6,6,18,45,90,2,33,58,78,36,2,1
2021,Estonia,3,1,0,2,1,85,1,2,-1,3,273,134,1,11,45,26,9,0.33,0.67
2021,Azerbaijan,5,1,1,3,0.8,61,6,8,-2,14,75,56,0,16,53,47,25,1.2,1.6
2021,Wales,4,1,2,1,1.25,47,1,3,-2,4,360,120,3,12,48,31,13,0.25,0.75
2021,Slovakia,2,0,2,0,1,95,1,1,0,2,180,180,1,6,53,17,9,0.5,0.5
2021,Croatia,2,0,1,1,0.5,116,1,2,-1,3,180,90,0,10,55,24,11,0.5,1
2021,Bosnia and Herzegovina,5,1,2,2,1,43,1,3,-2,4,450,150,3,22,46,45,17,0.2,0.6
2021,Lithuania,3,0,1,2,0.33,114,1,9,-8,10,273,30,0,15,48,27,10,0.33,3
2021,Faroe Islands,2,1,0,1,1.5,91,5,2,3,7,36,90,0,11,64,35,16,2.5,1
2021,Jordan,14,7,2,5,1.64,1,18,14,4,32,70,90,6,40,49,101,47,1.29,1
2021,Bahrain,8,4,1,3,1.63,4,19,9,10,28,38,80,2,38,51,94,45,2.38,1.13
2021,Qatar,11,3,3,5,1.09,6,9,23,-14,32,110,43,2,33,43,84,39,0.82,2.09
2021,Tajikistan,5,1,2,2,1,46,3,5,-2,8,150,90,2,7,53,16,6,0.6,1
2021,Palestine,3,2,0,1,2,30,3,1,2,4,90,273,2,23,51,35,13,1,0.33
2021,Oman,5,3,2,0,2.2,10,12,4,8,16,38,113,2,7,50,15,5,2.4,0.8
2021,Lebanon,2,0,1,1,0.5,115,1,2,-1,3,180,90,0,6,50,16,3,0.5,1
2021,Iraq,5,3,2,0,2.2,11,9,3,6,12,50,150,3,14,42,27,11,1.8,0.6
2021,UAE,3,2,1,0,2.33,25,11,1,10,12,25,273,2,7,55,28,17,3.67,0.33
2021,Uzbekistan,6,2,0,4,1,39,8,8,0,16,68,68,1,22,57,74,29,1.33,1.33
2021,Kuwait,7,0,2,5,0.29,94,3,14,-11,17,209,45,0,13,40,45,18,0.43,2
2021,USA,6,5,0,1,2.5,2,19,4,15,23,28,134,3,33,63,83,42,3.17,0.67
2021,Honduras,3,0,2,1,0.67,93,2,3,-1,5,134,90,1,15,41,32,14,0.67,1
2021,Mexico,8,4,2,2,1.75,3,14,7,7,21,51,102,4,45,64,111,52,1.75,0.88
2021,Costa Rica,4,0,2,2,0.5,92,0,5,-5,5,0,72,2,13,43,35,16,0,1.25
2021,Dominican Republic,2,0,1,1,0.5,101,0,1,-1,1,0,180,1,0,0,0,0,0,0.5
2021,Trinidad and Tobago,1,0,0,1,0,138,0,7,-7,7,0,13,0,1,34,2,0,0,7
2021,Panama,2,0,1,1,0.5,99,0,3,-3,3,0,60,1,6,50,12,4,0,1.5
2021,Puerto Rico,2,1,0,1,1.5,72,1,1,0,2,180,180,1,1,34,3,2,0.5,0.5
2021,Guatemala,5,3,2,0,2.2,12,6,2,4,8,75,225,4,24,59,52,28,1.2,0.4
2021,Kazakhstan,2,1,0,1,1.5,81,1,4,-3,5,180,45,1,5,40,15,3,0.5,2
2021,Kyrgyzstan,4,3,0,1,2.25,15,9,6,3,15,40,60,1,11,51,41,19,2.25,1.5
2021,India,4,1,2,1,1.25,44,4,9,-5,13,90,40,0,1,50,5,4,1,2.25
2021,Nicaragua,4,1,1,2,1,48,4,6,-2,10,90,60,1,22,50,48,25,1,1.5
2021,Turkey,3,2,1,0,2.33,28,4,1,3,5,68,273,2,14,56,31,16,1.33,0.33
2021,Saudi Arabia,1,1,0,0,3,84,1,0,1,1,90,0,1,2,59,15,2,1,0
2021,Denmark,2,1,1,0,2,58,3,1,2,4,60,180,1,11,57,23,9,1.5,0.5
2021,Japan,2,2,0,0,3,37,4,0,4,4,45,0,2,10,51,28,14,2,0
2021,South Korea,1,0,0,1,0,141,0,3,-3,3,0,30,0,7,50,11,6,0,3
2021,Kenya,2,2,0,0,3,32,3,1,2,4,60,180,1,4,48,17,8,1.5,0.5
2021,Tanzania,3,1,0,2,1,70,3,4,-1,7,90,68,1,17,57,11,6,1,1.33
2021,South Sudan,1,0,0,1,0,128,0,1,-1,1,0,90,0,3,41,5,2,0,1
2021,Malawi,3,1,0,2,1,86,2,7,-5,9,134,39,0,8,50,5,0,0.67,2.33
2021,Ethiopia,4,3,1,0,2.5,14,9,3,6,12,40,120,2,0,0,0,0,2.25,0.75
2021,Latvia,1,0,0,1,0,130,1,7,-6,8,90,13,0,1,28,3,2,1,7
2021,Germany,2,1,1,0,2,59,8,2,6,10,23,90,0,8,63,41,16,4,1
2021,Moldova,2,1,0,1,1.5,66,1,2,-1,3,180,90,1,9,43,15,7,0.5,1
2021,Andorra,2,0,1,1,0.5,109,1,4,-3,5,180,45,1,4,49,12,5,0.5,2
2021,San Marino,2,0,0,2,0,126,1,11,-10,12,180,16,0,3,25,7,3,0.5,5.5
2021,Hungary,2,1,1,0,2,64,1,0,1,1,180,0,2,10,60,30,10,0.5,0
2021,Italy,2,2,0,0,3,33,11,0,11,11,16,0,2,15,69,42,19,5.5,0
2021,Syria,1,0,0,1,0,140,0,3,-3,3,0,30,0,5,41,5,0,0,3
2021,Iran,1,1,0,0,3,89,3,0,3,3,30,0,1,7,59,12,6,3,0
2021,Ecuador,3,2,1,0,2.33,24,6,4,2,10,45,68,0,16,45,32,18,2,1.33
2021,Chile,3,2,1,0,2.33,27,5,3,2,8,54,90,1,17,56,40,17,1.67,1
2021,Jamaica,2,0,1,1,0.5,118,2,5,-3,7,90,36,0,7,42,19,7,1,2.5
2021,Bolivia,3,1,0,2,1,79,3,4,-1,7,90,68,1,13,45,29,13,1,1.33
2021,Netherlands,2,1,1,0,2,60,5,2,3,7,36,90,1,15,61,33,13,2.5,1
2021,Scotland,2,1,1,0,2,54,3,2,1,5,60,90,1,11,48,26,10,1.5,1
2021,Russia,2,1,1,0,2,51,2,1,1,3,90,180,1,11,53,18,8,1,0.5
2021,Slovenia,2,1,1,0,2,55,7,1,6,8,26,180,1,7,58,18,12,3.5,0.5
2021,Norway,2,1,0,1,1.5,68,2,2,0,4,90,90,1,19,54,22,9,1,1
2021,FYR Macedonia,2,1,1,0,2,56,5,1,4,6,36,180,1,10,58,30,16,2.5,0.5
2021,Afghanistan,3,2,1,0,2.33,26,5,3,2,8,54,90,1,6,55,13,8,1.67,1
2021,Singapore,2,0,1,1,0.5,117,2,3,-1,5,90,60,0,0,0,0,0,1,1.5
2021,Indonesia,4,1,0,3,0.75,78,7,8,-1,15,51,45,0,10,45,29,14,1.75,2
2021,Egypt,1,1,0,0,3,88,2,0,2,2,45,0,1,9,62,12,5,2,0
2021,Burundi,2,1,0,1,1.5,69,8,2,6,10,23,90,0,0,0,0,0,4,1
2021,Thailand,2,0,1,1,0.5,106,2,3,-1,5,90,60,0,0,0,0,0,1,1.5
2021,France,2,2,0,0,3,29,6,0,6,6,30,0,2,20,59,42,20,3,0
2021,Vietnam,1,0,1,0,1,105,1,1,0,2,90,90,0,0,36,0,0,1,1
