season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2018,Finland,4,2,1,1,1.75,60,7,2,5,9,51,180,3,21,55,50,25,1.75,0.5
2018,Iceland,6,0,3,3,0.5,118,9,15,-6,24,60,36,0,32,43,65,31,1.5,2.5
2018,Gibraltar,1,1,0,0,3,120,1,0,1,1,90,0,1,0,45,7,3,1,0
2018,Belarus,4,2,1,1,1.75,59,4,3,1,7,90,120,2,15,46,40,17,1,0.75
2018,Czech Republic,4,2,0,2,1.5,69,3,9,-6,12,120,40,2,26,47,47,20,0.75,2.25
2018,Montenegro,4,0,3,1,0.75,121,2,4,-2,6,180,90,2,20,47,32,10,0.5,1
2018,Switzerland,6,3,1,2,1.67,39,10,3,7,13,54,180,3,25,52,70,27,1.67,0.5
2018,Serbia,4,2,0,2,1.5,64,8,4,4,12,45,90,1,28,55,63,29,2,1
2018,Andorra,3,1,2,0,1.67,83,1,0,1,1,273,0,3,5,33,19,7,0.33,0
2018,Austria,7,5,0,2,2.14,17,12,6,6,18,53,105,4,27,48,84,42,1.71,0.86
2018,FYR Macedonia,2,0,2,0,1,127,1,1,0,2,180,180,1,4,54,27,13,0.5,0.5
2018,Georgia,4,3,0,1,2.25,47,7,1,6,8,51,360,3,22,57,53,23,1.75,0.25
2018,Spain,6,4,2,0,2.33,18,14,4,10,18,39,134,2,31,61,76,32,2.33,0.67
2018,Luxembourg,4,2,1,1,1.75,57,2,4,-2,6,180,90,3,19,45,29,15,0.5,1
2018,Portugal,7,3,3,1,1.71,32,11,8,3,19,57,79,2,39,53,109,45,1.57,1.14
2018,Norway,4,4,0,0,3,31,9,3,6,12,40,120,2,14,49,45,20,2.25,0.75
2018,Romania,4,4,0,0,3,30,8,3,5,11,45,120,2,18,46,49,22,2,0.75
2018,Northern Ireland,5,2,2,1,1.6,48,5,4,1,9,90,113,3,23,50,44,22,1,0.8
2018,Sweden,6,0,3,3,0.5,117,2,6,-4,8,273,90,2,28,46,60,21,0.33,1
2018,Ukraine,6,2,4,0,1.67,41,8,4,4,12,68,134,2,33,49,78,32,1.33,0.67
2018,Moldova,5,0,2,3,0.4,129,1,6,-5,7,450,75,2,12,50,30,14,0.2,1.2
2018,Latvia,4,0,1,3,0.25,135,2,6,-4,8,180,60,0,13,48,31,14,0.5,1.5
2018,Liechtenstein,2,0,0,2,0,173,0,4,-4,4,0,45,0,7,51,18,4,0,2
2018,Poland,6,2,2,2,1.33,54,10,7,3,17,54,77,1,32,55,83,41,1.67,1.17
2018,Slovenia,3,1,0,2,1,103,2,5,-3,7,134,54,1,13,52,27,11,0.67,1.67
2018,Germany,6,3,1,2,1.67,40,9,6,3,15,60,90,1,44,59,76,35,1.5,1
2018,England,6,5,1,0,2.67,11,10,2,8,12,54,273,4,34,56,79,41,1.67,0.33
2018,Republic of Ireland,5,1,2,2,1,82,3,5,-2,8,150,90,1,20,42,39,14,0.6,1
2018,Greece,3,1,0,2,1,105,1,3,-2,4,273,90,1,14,51,29,13,0.33,1
2018,Armenia,4,0,3,1,0.75,107,1,2,-1,3,360,180,2,16,55,39,15,0.25,0.5
2018,Hungary,4,0,1,3,0.25,132,4,7,-3,11,90,51,0,18,47,43,22,1,1.75
2018,Cyprus,2,0,1,1,0.5,152,0,3,-3,3,0,60,1,6,56,22,12,0,1.5
2018,Israel,3,1,0,2,1,113,8,5,3,13,34,54,1,12,53,30,22,2.67,1.67
2018,Italy,7,2,3,2,1.29,44,7,9,-2,16,90,70,1,47,53,99,42,1,1.29
2018,Albania,5,1,1,3,0.8,99,2,8,-6,10,225,56,2,15,49,37,9,0.4,1.6
2018,Belgium,6,4,2,0,2.33,19,16,2,14,18,34,273,4,44,56,114,54,2.67,0.33
2018,Bulgaria,2,1,0,1,1.5,110,2,2,0,4,90,90,0,8,49,18,11,1,1
2018,Kosovo,3,3,0,0,3,42,6,0,6,6,45,0,3,1,50,13,9,2,0
2018,Estonia,3,0,1,2,0.33,159,1,5,-4,6,273,54,1,11,40,26,9,0.33,1.67
2018,Azerbaijan,6,2,2,2,1.33,49,7,6,1,13,77,90,2,35,56,67,37,1.17,1
2018,Wales,3,0,1,2,0.33,157,1,5,-4,6,273,54,1,14,41,29,8,0.33,1.67
2018,Netherlands,6,2,3,1,1.5,43,8,5,3,13,68,108,1,27,49,84,41,1.33,0.83
2018,Slovakia,4,1,2,1,1.25,73,6,4,2,10,60,90,1,16,55,59,25,1.5,1
2018,France,7,4,2,1,2,21,14,8,6,22,45,79,2,35,58,109,50,2,1.14
2018,Croatia,6,3,1,2,1.67,37,6,7,-1,13,90,77,1,36,54,68,31,1,1.17
2018,Malta,4,0,1,3,0.25,148,1,8,-7,9,360,45,0,20,43,28,12,0.25,2
2018,Denmark,6,3,2,1,1.83,34,5,3,2,8,108,180,5,24,49,74,32,0.83,0.5
2018,Turkey,7,2,5,0,1.57,35,8,6,2,14,79,105,3,34,52,82,32,1.14,0.86
2018,Bosnia and Herzegovina,8,2,4,2,1.25,36,4,3,1,7,180,237,5,24,49,78,29,0.5,0.38
2018,Lithuania,4,1,0,3,0.75,104,1,9,-8,10,360,40,1,13,40,20,6,0.25,2.25
2018,Scotland,6,1,0,5,0.5,102,2,11,-9,13,273,49,1,19,48,53,20,0.33,1.83
2018,Faroe Islands,2,1,1,0,2,98,4,1,3,5,45,180,1,14,53,22,15,2,0.5
2018,Kazakhstan,3,2,0,1,2,71,7,4,3,11,39,68,1,15,49,30,13,2.33,1.33
2018,Japan,10,5,2,3,1.7,9,21,13,8,34,43,69,3,42,51,150,78,2.1,1.3
2018,Jordan,10,3,3,4,1.2,26,8,8,0,16,113,113,4,31,49,73,35,0.8,0.8
2018,India,3,0,2,1,0.67,131,1,2,-1,3,273,134,2,4,34,3,2,0.33,0.67
2018,Australia,7,4,2,1,2,20,15,6,9,21,42,105,4,46,53,100,48,2.14,0.86
2018,Bangladesh,2,0,1,1,0.5,154,2,3,-1,5,90,60,0,0,0,0,0,1,1.5
2018,Bahrain,9,4,3,2,1.67,13,16,5,11,21,51,161,5,29,50,88,33,1.78,0.56
2018,China,8,3,3,2,1.5,28,7,4,3,11,102,180,5,34,52,53,22,0.88,0.5
2018,Taiwan,1,1,0,0,3,109,2,0,2,2,45,0,1,2,42,9,7,2,0
2018,Saudi Arabia,15,4,5,6,1.13,6,16,22,-6,38,84,61,5,49,51,137,55,1.07,1.47
2018,Qatar,9,6,2,1,2.22,4,18,11,7,29,45,74,4,15,49,66,29,2,1.22
2018,Syria,9,3,4,2,1.44,23,10,10,0,20,81,81,2,26,52,91,45,1.11,1.11
2018,Tajikistan,3,0,0,3,0,169,1,8,-7,9,273,34,0,8,50,12,7,0.33,2.67
2018,Macau,2,0,0,2,0,170,1,5,-4,6,180,36,0,0,50,2,2,0.5,2.5
2018,Pakistan,1,0,0,1,0,160,1,2,-1,3,90,45,0,1,50,3,3,1,2
2018,Palestine,10,1,5,4,0.8,50,5,13,-8,18,180,69,2,38,49,77,37,0.5,1.3
2018,Oman,9,3,6,0,1.67,14,7,4,3,11,115,205,5,39,49,112,58,0.78,0.44
2018,Sri Lanka,2,1,0,1,1.5,122,2,4,-2,6,90,45,1,6,50,7,3,1,2
2018,North Korea,3,0,1,2,0.33,151,1,7,-6,8,273,39,0,6,45,9,6,0.33,2.33
2018,Maldives,2,0,0,2,0,165,2,6,-4,8,90,30,0,10,43,12,10,1,3
2018,Mongolia,4,1,1,2,1,97,6,7,-1,13,60,51,0,2,44,10,5,1.5,1.75
2018,Lebanon,6,1,2,3,0.83,79,1,5,-4,6,529,108,3,23,44,46,14,0.17,0.83
2018,Malaysia,8,5,1,2,2,10,20,7,13,27,36,102,3,58,52,76,42,2.5,0.88
2018,Bhutan,1,0,0,1,0,164,0,7,-7,7,0,13,0,0,50,2,0,0,7
2018,Iraq,11,4,5,2,1.55,7,16,13,3,29,62,76,4,19,42,42,21,1.45,1.18
2018,Iran,11,7,2,2,2.09,3,15,7,8,22,66,141,5,34,52,118,49,1.36,0.64
2018,Philippines,4,1,2,1,1.25,77,7,8,-1,15,51,45,0,8,53,25,14,1.75,2
2018,Cambodia,4,1,1,2,1,101,5,7,-2,12,72,51,1,19,53,27,5,1.25,1.75
2018,Yemen,3,0,0,3,0,163,0,4,-4,4,0,68,0,2,41,14,5,0,1.33
2018,UAE,7,2,3,2,1.29,46,6,5,1,11,105,127,4,25,54,45,22,0.86,0.71
2018,Vietnam,2,1,1,0,2,100,5,3,2,8,36,60,0,2,50,8,4,2.5,1.5
2018,Thailand,3,2,0,1,2,70,2,2,0,4,134,134,2,19,50,38,15,0.67,0.67
2018,Singapore,5,4,1,0,2.6,24,10,4,6,14,45,113,2,25,53,74,39,2,0.8
2018,Uzbekistan,10,2,3,5,0.9,45,6,13,-7,19,150,69,3,36,47,79,42,0.6,1.3
2018,Laos,4,0,1,3,0.25,150,3,10,-7,13,120,36,0,0,0,0,0,0.75,2.5
2018,Timor-Leste,1,0,1,0,1,149,2,2,0,4,45,45,0,4,50,12,3,2,2
2018,Hong Kong,2,0,1,1,0.5,155,1,2,-1,3,180,90,0,17,51,30,14,0.5,1
2018,South Korea,16,6,6,4,1.5,2,21,16,5,37,69,90,8,74,52,147,71,1.31,1
2018,Kuwait,8,2,2,4,1,56,8,13,-5,21,90,55,2,25,50,73,44,1,1.63
2018,Kyrgyzstan,6,3,1,2,1.67,38,5,9,-4,14,108,60,2,21,44,47,21,0.83,1.5
2018,Myanmar,4,0,0,4,0,162,1,11,-10,12,360,33,0,23,47,35,15,0.25,2.75
2018,Ivory Coast,2,1,1,0,2,96,4,3,1,7,45,60,0,5,54,12,6,2,1.5
2018,Argentina,9,6,1,2,2.11,5,18,7,11,25,45,115,7,48,56,121,62,2,0.78
2018,Russia,6,1,1,4,0.67,92,7,12,-5,19,77,45,0,30,44,56,16,1.17,2
2018,Uruguay,6,2,0,4,1,66,11,9,2,20,49,60,1,25,48,73,34,1.83,1.5
2018,Ecuador,6,4,1,1,2.17,25,11,5,6,16,49,108,4,27,56,59,32,1.83,0.83
2018,Ghana,2,1,1,0,2,87,4,2,2,6,45,90,1,13,52,18,9,2,1
2018,Brazil,10,10,0,0,3,1,21,0,21,21,43,0,10,44,58,176,78,2.1,0
2018,Nigeria,6,1,2,3,0.83,76,3,6,-3,9,180,90,2,26,49,51,19,0.5,1
2018,USA,11,3,3,5,1.09,33,10,14,-4,24,99,71,4,49,42,106,39,0.91,1.27
2018,Honduras,5,1,1,3,0.8,86,3,8,-5,11,150,56,1,14,46,37,14,0.6,1.6
2018,Cameroon,3,1,0,2,1,124,3,3,0,6,90,90,0,8,48,19,8,1,1
2018,Mexico,12,4,1,7,1.08,22,9,15,-6,24,120,72,4,54,56,162,67,0.75,1.25
2018,Algeria,5,1,0,4,0.6,116,7,11,-4,18,64,41,0,27,51,47,24,1.4,2.2
2018,Chile,10,4,3,3,1.5,16,14,13,1,27,64,69,4,48,54,137,59,1.4,1.3
2018,Colombia,7,4,3,0,2.14,15,12,6,6,18,53,105,3,43,57,108,43,1.71,0.86
2018,Costa Rica,11,4,0,7,1.09,27,14,22,-8,36,71,45,2,37,46,79,36,1.27,2
2018,Senegal,5,1,3,1,1.2,67,4,3,1,7,113,150,3,21,51,50,14,0.8,0.6
2018,Kenya,5,2,1,2,1.4,61,6,6,0,12,75,75,2,13,51,73,30,1.2,1.2
2018,Central African Republic,4,2,2,0,2,52,8,6,2,14,45,60,1,9,44,16,10,2,1.5
2018,Canada,1,1,0,0,3,119,1,0,1,1,90,0,1,0,0,0,0,1,0
2018,South Africa,3,1,2,0,1.67,78,4,2,2,6,68,134,1,3,50,17,8,1.33,0.67
2018,Guinea,1,0,0,1,0,174,0,2,-2,2,0,45,0,0,0,0,0,0,2
2018,Haiti,2,0,0,2,0,180,0,5,-5,5,0,36,0,5,81,2,0,0,2.5
2018,Jamaica,7,3,3,1,1.71,29,15,9,6,24,42,70,1,12,49,47,16,2.14,1.29
2018,Seychelles,1,0,1,0,1,153,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,Curaçao,2,1,1,0,2,90,2,1,1,3,90,180,1,0,0,0,0,1,0.5
2018,Swaziland,2,1,1,0,2,89,1,0,1,1,180,0,2,2,43,8,5,0.5,0
2018,Bolivia,10,1,5,4,0.8,53,8,14,-6,22,113,64,4,33,47,53,21,0.8,1.4
2018,Uganda,5,1,2,2,1,80,4,4,0,8,113,113,2,9,50,25,10,0.8,0.8
2018,Turks and Caicos Islands,1,0,0,1,0,176,0,4,-4,4,0,23,0,1,50,4,2,0,4
2018,Barbados,6,0,4,2,0.67,85,2,5,-3,7,273,108,3,11,48,27,10,0.33,0.83
