season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2023,Finland,2,0,0,2,0,157,0,3,-3,3,0,60,0,8,54,16,8,0,1.5
2023,Iceland,2,0,1,1,0.5,138,2,3,-1,5,90,60,0,13,56,20,13,1,1.5
2023,Sweden,4,4,0,0,3,10,11,3,8,14,33,120,1,19,57,49,25,2.75,0.75
2023,Latvia,2,0,0,2,0,142,2,5,-3,7,90,36,0,1,41,14,8,1,2.5
2023,Republic of Ireland,2,1,1,0,2,76,4,3,1,7,45,60,0,19,60,26,12,2,1.5
2023,Armenia,2,0,1,1,0.5,132,3,5,-2,8,60,36,0,12,48,23,11,1.5,2.5
2023,Hungary,2,1,1,0,2,79,2,1,1,3,90,180,1,10,54,27,13,1,0.5
2023,Cyprus,2,1,1,0,2,80,3,2,1,5,60,90,1,5,42,14,9,1.5,1
2023,Estonia,4,1,2,1,1.25,61,3,3,0,6,120,120,1,19,43,37,19,0.75,0.75
2023,Uganda,4,0,1,3,0.25,136,2,7,-5,9,180,51,0,9,46,21,4,0.5,1.75
2023,Sudan,3,1,2,0,1.67,59,4,3,1,7,68,90,1,0,0,0,0,1.33,1
2023,Venezuela,5,3,1,1,2,22,5,3,2,8,90,150,2,14,45,28,17,1,0.6
2023,Guatemala,7,1,3,3,0.86,54,2,5,-3,7,310,127,3,29,46,32,14,0.29,0.71
2023,Greece,2,1,1,0,2,68,2,0,2,2,90,0,2,19,60,31,11,1,0
2023,Lithuania,2,0,1,1,0.5,130,0,1,-1,1,0,180,1,7,45,13,6,0,0.5
2023,FYR Macedonia,2,2,0,0,3,46,4,1,3,5,45,180,1,7,60,19,12,2,0.5
2023,Faroe Islands,2,1,0,1,1.5,97,3,2,1,5,60,90,0,4,38,26,11,1.5,1
2023,Czech Republic,2,1,1,0,2,74,5,2,3,7,36,90,0,8,50,24,12,2.5,1
2023,Montenegro,2,1,0,1,1.5,92,4,6,-2,10,45,30,0,16,50,16,11,2,3
2023,Trinidad and Tobago,4,3,1,0,2.5,20,4,0,4,4,90,0,4,3,50,10,5,1,0
2023,Saint Martin,1,0,0,1,0,146,0,2,-2,2,0,45,0,0,0,0,0,0,2
2023,Germany,11,3,2,6,1,13,17,22,-5,39,58,45,1,51,62,115,62,1.55,2
2023,Belgium,2,2,0,0,3,49,4,2,2,6,45,90,1,5,49,17,13,2,1
2023,Peru,4,1,1,2,1,73,2,6,-4,8,180,60,2,7,47,15,8,0.5,1.5
2023,Morocco,5,2,3,0,1.8,25,4,2,2,6,113,225,3,21,53,52,22,0.8,0.4
2023,China,9,3,2,4,1.22,14,11,8,3,19,74,101,4,45,49,87,52,1.22,0.89
2023,New Zealand,8,2,3,3,1.13,26,6,11,-5,17,120,65,2,40,52,68,34,0.75,1.38
2023,Panama,4,2,1,1,1.75,41,6,6,0,12,60,60,0,6,42,19,10,1.5,1.5
2023,Honduras,3,1,1,1,1.33,65,1,1,0,2,273,273,2,3,0,0,0,0.33,0.33
2023,El Salvador,5,0,3,2,0.6,109,3,10,-7,13,150,45,0,6,35,8,3,0.6,2
2023,Norway,2,1,0,1,1.5,110,7,3,4,10,26,60,1,15,68,32,22,3.5,1.5
2023,Jordan,8,2,1,5,0.88,43,13,19,-6,32,55,38,1,16,46,70,36,1.63,2.38
2023,Gibraltar,2,0,0,2,0,143,0,5,-5,5,0,36,0,2,36,3,2,0,2.5
2023,Wales,2,1,1,0,2,84,4,0,4,4,45,0,2,16,59,34,17,2,0
2023,South Korea,8,3,3,2,1.5,12,15,6,9,21,48,120,4,53,55,75,39,1.88,0.75
2023,Colombia,7,5,2,0,2.43,3,11,5,6,16,57,127,4,27,52,52,27,1.57,0.71
2023,Japan,8,6,1,1,2.38,1,26,8,18,34,28,90,2,30,49,92,59,3.25,1
2023,Bolivia,5,1,1,3,0.8,66,3,5,-2,8,150,90,1,13,36,44,19,0.6,1
2023,Lesotho,2,0,1,1,0.5,137,1,3,-2,4,180,60,0,0,0,0,0,0.5,1.5
2023,Malawi,3,0,3,0,1,95,3,3,0,6,90,90,0,0,0,0,0,1,1
2023,Georgia,2,2,0,0,3,58,14,1,13,15,13,180,1,12,35,56,38,7,0.5
2023,Thailand,6,1,2,3,0.83,63,5,16,-11,21,108,34,1,31,53,78,41,0.83,2.67
2023,Uruguay,4,3,1,0,2.5,17,9,3,6,12,40,120,1,13,50,40,22,2.25,0.75
2023,Kenya,6,2,1,3,1.17,36,6,7,-1,13,90,77,1,22,52,21,12,1,1.17
2023,Burundi,2,0,1,1,0.5,124,3,5,-2,8,60,36,0,12,47,17,11,1.5,2.5
2023,Mongolia,1,0,0,1,0,153,1,6,-5,7,90,15,0,0,82,3,3,1,6
2023,Brazil,3,1,0,2,1,104,7,7,0,14,39,39,0,12,58,33,20,2.33,2.33
2023,Azerbaijan,1,1,0,0,3,108,2,1,1,3,45,90,0,2,54,8,4,2,1
