season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2019,Gibraltar,2,0,0,2,0,149,0,2,-2,2,0,90,0,2,31,9,7,0,1
2019,Belarus,2,0,0,2,0,132,0,3,-3,3,0,60,0,2,42,14,5,0,1.5
2019,Czech Republic,2,0,0,2,0,122,3,6,-3,9,60,30,0,12,53,33,12,1.5,3
2019,Montenegro,2,2,0,0,3,39,4,1,3,5,45,180,1,6,50,22,13,2,0.5
2019,Serbia,2,1,1,0,2,52,2,1,1,3,90,180,1,9,50,19,6,1,0.5
2019,Georgia,2,0,1,1,0.5,114,3,4,-1,7,60,45,0,8,49,23,10,1.5,2
2019,Luxembourg,3,0,1,2,0.33,113,3,8,-5,11,90,34,0,8,45,34,12,1,2.67
2019,Northern Ireland,2,2,0,0,3,42,4,2,2,6,45,90,1,6,41,15,8,2,1
2019,Ukraine,2,1,1,0,2,50,3,2,1,5,60,90,1,15,69,26,12,1.5,1
2019,Moldova,1,0,0,1,0,126,0,1,-1,1,0,90,0,2,50,8,0,0,1
2019,Germany,2,0,2,0,1,94,3,3,0,6,60,60,0,11,52,39,18,1.5,1.5
2019,Republic of Ireland,2,2,0,0,3,37,6,2,4,8,30,90,0,12,60,43,15,3,1
2019,Greece,1,0,0,1,0,127,1,2,-1,3,90,45,0,3,43,11,4,1,2
2019,Hungary,2,0,0,2,0,125,2,4,-2,6,90,45,0,5,43,22,10,1,2
2019,Bulgaria,2,0,0,2,0,121,1,4,-3,5,180,45,0,8,39,17,6,0.5,2
2019,Kosovo,2,1,1,0,2,55,3,2,1,5,60,90,1,14,60,25,8,1.5,1
2019,Estonia,2,1,0,1,1.5,82,1,1,0,2,180,180,1,5,44,16,7,0.5,0.5
2019,Azerbaijan,2,1,1,0,2,57,3,2,1,5,60,90,1,8,53,23,12,1.5,1
2019,Wales,2,2,0,0,3,35,2,0,2,2,90,0,2,13,69,35,11,1,0
2019,Slovakia,2,1,1,0,2,58,6,2,4,8,30,90,0,9,46,29,17,3,1
2019,France,1,1,0,0,3,85,2,0,2,2,45,0,1,10,61,19,10,2,0
2019,Croatia,2,1,0,1,1.5,83,3,3,0,6,60,60,0,19,54,27,10,1.5,1.5
2019,Denmark,2,1,1,0,2,60,6,2,4,8,30,90,1,9,63,28,14,3,1
2019,Turkey,2,2,0,0,3,40,4,1,3,5,45,180,1,8,60,30,16,2,0.5
2019,Lithuania,2,1,1,0,2,66,1,0,1,1,180,0,2,11,47,31,13,0.5,0
2019,Kazakhstan,1,1,0,0,3,87,1,0,1,1,90,0,1,5,50,7,3,1,0
2019,Japan,6,3,1,2,1.67,17,6,5,1,11,90,108,4,37,54,94,32,1,0.83
2019,Jordan,7,2,1,4,1,28,10,14,-4,24,63,45,2,21,50,65,29,1.43,2
2019,Australia,1,0,0,1,0,147,0,1,-1,1,0,90,0,5,48,6,2,0,1
2019,Bangladesh,2,2,0,0,3,43,3,0,3,3,60,0,2,15,50,27,13,1.5,0
2019,China,2,2,0,0,3,38,3,0,3,3,60,0,2,8,50,25,6,1.5,0
2019,Taiwan,4,1,2,1,1.25,49,3,2,1,5,120,180,2,25,48,35,17,0.75,0.5
2019,Saudi Arabia,4,1,2,1,1.25,46,5,5,0,10,72,72,1,19,48,44,24,1.25,1.25
2019,Qatar,2,1,0,1,1.5,84,2,2,0,4,90,90,1,10,43,23,10,1,1
2019,Syria,5,1,1,3,0.8,61,1,8,-7,9,450,56,2,22,50,54,19,0.2,1.6
2019,Tajikistan,2,0,0,2,0,145,0,2,-2,2,0,90,0,5,46,17,5,0,1
2019,Palestine,1,0,1,0,1,107,2,2,0,4,45,45,0,3,48,15,7,2,2
2019,Sri Lanka,4,0,1,3,0.25,100,4,15,-11,19,90,24,0,12,50,15,8,1,3.75
2019,North Korea,1,0,0,1,0,139,0,4,-4,4,0,23,0,1,40,8,5,0,4
2019,Malaysia,4,3,0,1,2.25,20,9,1,8,10,40,360,3,13,53,37,20,2.25,0.25
2019,Iraq,4,2,1,1,1.75,26,4,4,0,8,90,90,2,10,51,21,9,1,1
2019,Iran,2,1,1,0,2,65,6,1,5,7,30,180,1,14,50,36,18,3,0.5
2019,Philippines,1,0,0,1,0,136,0,2,-2,2,0,45,0,1,50,6,0,0,2
2019,Cambodia,2,0,1,1,0.5,111,1,2,-1,3,180,90,0,4,50,17,5,0.5,1
2019,UAE,4,3,1,0,2.5,15,11,2,9,13,33,180,2,8,50,16,11,2.75,0.5
2019,Singapore,4,1,1,2,1,68,5,7,-2,12,72,51,1,12,49,26,12,1.25,1.75
2019,Uzbekistan,5,3,1,1,2,19,9,3,6,12,50,150,3,17,55,57,23,1.8,0.6
2019,Laos,2,1,1,0,2,69,4,3,1,7,45,60,0,9,50,19,8,2,1.5
2019,Hong Kong,1,0,0,1,0,134,0,2,-2,2,0,45,0,5,58,14,7,0,2
2019,South Korea,6,3,2,1,1.83,11,7,7,0,14,77,77,2,33,50,68,30,1.17,1.17
2019,Kuwait,2,0,2,0,1,93,1,1,0,2,180,180,1,18,51,30,13,0.5,0.5
2019,Kyrgyzstan,2,0,1,1,0.5,115,3,5,-2,8,60,36,0,11,41,26,16,1.5,2.5
2019,Myanmar,4,2,1,1,1.75,27,5,3,2,8,72,120,2,20,50,39,10,1.25,0.75
2019,Nepal,4,0,2,2,0.5,89,1,6,-5,7,360,60,1,8,50,16,7,0.25,1.5
2019,Ivory Coast,7,5,0,2,2.14,7,14,7,7,21,45,90,1,22,55,55,27,2,1
2019,Argentina,9,5,3,1,2,2,22,9,13,31,37,90,4,60,55,120,62,2.44,1
2019,Uruguay,7,4,3,0,2.14,6,12,6,6,18,53,105,2,37,49,76,31,1.71,0.86
2019,Ecuador,9,3,2,4,1.22,12,11,12,-1,23,74,68,4,25,48,76,34,1.22,1.33
2019,Brazil,10,4,4,2,1.6,5,20,8,12,28,45,113,3,66,59,151,60,2,0.8
2019,Nigeria,4,1,3,0,1.5,32,4,3,1,7,90,120,2,8,41,31,20,1,0.75
2019,USA,8,3,2,3,1.38,14,8,9,-1,17,90,80,3,41,52,78,37,1,1.13
2019,Honduras,5,2,2,1,1.6,23,7,9,-2,16,64,50,2,18,47,63,27,1.4,1.8
2019,Cameroon,3,1,2,0,1.67,48,3,2,1,5,90,134,1,14,54,29,14,1,0.67
2019,Mexico,7,6,0,1,2.57,3,18,10,8,28,35,63,2,31,54,95,45,2.57,1.43
2019,Algeria,5,3,2,0,2.2,13,7,2,5,9,64,225,3,21,55,51,27,1.4,0.4
2019,Chile,7,2,3,2,1.29,22,8,9,-1,17,79,70,2,28,59,72,26,1.14,1.29
2019,Colombia,10,5,3,2,1.8,1,12,7,5,19,75,129,7,50,53,124,58,1.2,0.7
2019,Costa Rica,5,1,0,4,0.6,88,2,6,-4,8,225,75,1,19,53,26,12,0.4,1.2
2019,Senegal,2,1,1,0,2,56,3,2,1,5,60,90,0,3,50,11,5,1.5,1
2019,Guinea,4,0,0,4,0,143,3,8,-5,11,120,45,0,6,43,17,8,0.75,2
2019,Haiti,4,1,0,3,0.75,81,5,7,-2,12,72,51,0,16,46,33,22,1.25,1.75
2019,Jamaica,2,1,0,1,1.5,75,1,1,0,2,180,180,1,10,46,18,6,0.5,0.5
2019,Bolivia,7,1,1,5,0.57,53,6,14,-8,20,105,45,0,22,46,56,30,0.86,2
2019,Uganda,3,2,1,0,2.33,29,3,1,2,4,90,273,2,10,49,25,14,1,0.33
2019,Turks and Caicos Islands,1,0,0,1,0,133,1,6,-5,7,90,15,0,0,0,0,0,1,6
2019,Angola,1,1,0,0,3,70,2,0,2,2,45,0,1,3,50,11,5,2,0
2019,Libya,3,1,2,0,1.67,44,3,1,2,4,90,273,2,5,50,3,3,1,0.33
2019,Tahiti,1,0,1,0,1,116,1,1,0,2,90,90,0,0,0,0,0,1,1
2019,Peru,9,3,1,5,1.11,18,4,9,-5,13,205,90,3,36,51,86,33,0.44,1
2019,Cuba,3,2,1,0,2.33,25,6,0,6,6,45,0,3,21,50,27,12,2,0
2019,Paraguay,10,3,3,4,1.2,10,11,12,-1,23,82,75,3,60,55,126,51,1.1,1.2
2019,Tanzania,2,0,1,1,0.5,110,0,1,-1,1,0,180,1,5,41,11,2,0,0.5
2019,Morocco,7,1,2,4,0.71,45,7,10,-3,17,90,63,1,47,53,76,35,1,1.43
2019,Egypt,5,4,0,1,2.4,9,6,2,4,8,75,225,3,32,57,80,37,1.2,0.4
2019,Tunisia,7,4,1,2,1.86,8,8,5,3,13,79,127,3,25,52,66,27,1.14,0.71
