season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2017,Finland,3,1,2,0,1.67,67,5,2,3,7,54,134,1,11,49,19,7,1.67,0.67
2017,Iceland,4,1,1,2,1,80,3,4,-1,7,120,90,1,4,48,25,11,0.75,1
2017,Belarus,5,1,1,3,0.8,86,4,10,-6,14,113,45,1,19,47,52,26,0.8,2
2017,Czech Republic,3,2,0,1,2,46,4,3,1,7,68,90,1,15,52,30,12,1.33,1
2017,Montenegro,1,0,0,1,0,159,1,2,-1,3,90,45,0,2,50,14,7,1,2
2017,Switzerland,1,1,0,0,3,122,1,0,1,1,90,0,1,6,50,7,3,1,0
2017,Serbia,3,1,2,0,1.67,69,3,1,2,4,90,273,2,17,50,29,15,1,0.33
2017,Andorra,2,1,0,1,1.5,103,2,1,1,3,90,180,1,0,0,0,0,1,0.5
2017,Austria,2,1,1,0,2,90,3,2,1,5,60,90,0,8,53,23,12,1.5,1
2017,San Marino,3,0,0,3,0,170,0,12,-12,12,0,23,0,0,50,3,3,0,4
2017,FYR Macedonia,3,2,1,0,2.33,40,5,0,5,5,54,0,3,12,50,38,20,1.67,0
2017,Georgia,6,3,2,1,1.83,11,13,5,8,18,41,108,3,38,54,64,22,2.17,0.83
2017,Spain,4,2,2,0,2,30,12,5,7,17,30,72,2,22,58,40,25,3,1.25
2017,Luxembourg,3,2,0,1,2,51,4,4,0,8,68,68,0,12,50,31,14,1.33,1.33
2017,Portugal,4,2,1,1,1.75,37,10,4,6,14,36,90,2,32,54,60,25,2.5,1
2017,Norway,3,0,1,2,0.33,134,1,4,-3,5,273,68,0,13,46,29,7,0.33,1.33
2017,Romania,3,2,0,1,2,52,5,5,0,10,54,54,1,15,51,36,15,1.67,1.67
2017,Northern Ireland,1,1,0,0,3,99,1,0,1,1,90,0,1,4,50,9,6,1,0
2017,Sweden,2,1,1,0,2,89,4,3,1,7,45,60,0,8,50,15,8,2,1.5
