season,country,matches_played,wins,draws,losses,points_per_game,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,minutes_per_goal_scored,minutes_per_goal_conceded,clean_sheets,corners_total,average_possession,shots,shots_on_target,goals_scored_per_match,goals_conceded_per_match
2023,Ivory Coast,7,4,1,2,1.86,2,8,8,0,16,79,79,2,37,58,88,34,1.14,1.14
2023,Ghana,3,0,2,1,0.67,18,5,6,-1,11,54,45,0,9,43,21,11,1.67,2
2023,Nigeria,7,4,2,1,2,1,8,4,4,12,79,158,4,26,43,66,31,1.14,0.57
2023,Cameroon,4,1,1,2,1,14,5,8,-3,13,72,45,0,20,58,29,10,1.25,2
2023,Algeria,3,0,2,1,0.67,21,3,4,-1,7,90,68,0,24,68,39,16,1,1.33
2023,Senegal,4,3,1,0,2.5,4,9,2,7,11,40,180,2,25,51,35,19,2.25,0.5
2023,South Africa,7,2,4,1,1.43,5,7,3,4,10,90,209,5,26,52,71,40,1,0.43
2023,Guinea,5,2,1,2,1.4,9,4,6,-2,10,113,75,2,13,49,35,21,0.8,1.2
2023,Angola,5,3,1,1,2,6,9,4,5,13,50,113,2,27,47,46,23,1.8,0.8
2023,Burkina Faso,4,1,1,2,1,15,4,6,-2,10,90,60,1,13,48,35,19,1,1.5
2023,Tanzania,3,0,2,1,0.67,19,1,4,-3,5,273,68,1,6,51,12,3,0.33,1.33
2023,Morocco,4,2,1,1,1.75,11,5,3,2,8,72,120,2,21,55,49,24,1.25,0.75
2023,Egypt,4,0,4,0,1,13,7,7,0,14,51,51,0,20,57,50,24,1.75,1.75
2023,Tunisia,3,0,2,1,0.67,17,1,2,-1,3,273,134,1,17,52,22,10,0.33,0.67
2023,Mauritania,4,1,0,3,0.75,16,3,5,-2,8,120,72,1,16,37,45,20,0.75,1.25
2023,Namibia,4,1,1,2,1,12,1,7,-6,8,360,51,2,21,43,33,15,0.25,1.75
2023,Mali,5,2,2,1,1.6,8,6,4,2,10,75,113,2,20,58,53,23,1.2,0.8
2023,Equatorial Guinea,4,2,1,1,1.75,10,9,4,5,13,40,90,1,8,46,27,17,2.25,1
2023,Zambia,3,0,2,1,0.67,20,2,3,-1,5,134,90,0,8,44,23,10,0.67,1
2023,Gambia,3,0,0,3,0,23,2,7,-5,9,134,39,0,16,42,30,12,0.67,2.33
2023,Congo DR,7,1,5,1,1.14,7,6,5,1,11,105,127,2,30,45,79,28,0.86,0.71
2023,Cape Verde,5,3,2,0,2.2,3,8,3,5,11,56,150,3,31,54,52,24,1.6,0.6
2023,Guinea-Bissau,3,0,0,3,0,24,2,7,-5,9,134,39,0,12,46,32,13,0.67,2.33
2023,Mozambique,3,0,2,1,0.67,22,4,7,-3,11,68,39,0,14,50,28,11,1.33,2.33
